employee_id,age,gender,education_level,experience_years,job_role,company_type,working_hours_per_day,projects_handled,overtime_hours,work_pressure_score,deadline_frequency,work_life_balance,remote_work,team_size,manager_support,job_satisfaction,mental_fatigue_score,stress_level,sleep_hours,physical_activity,health_issues,burnout_score
10024,48,Male,Master,27,HR Executive,MNC,7,5,4,3,Low,5,Yes,18,5,1,3.0,5,6.9,No,No,0.122
10025,49,Male,Bachelor,16,Project Manager,MNC,11,3,15,5,Low,5,Yes,11,1,5,2.5,3,6.9,Yes,No,0.165
10026,37,Female,PhD,30,HR Executive,Startup,10,6,4,8,High,4,No,18,5,4,7.5,2,4.6,No,Yes,0.646
10027,36,Male,Bachelor,9,Software Engineer,Corporate,10,4,21,9,Low,3,Yes,11,3,3,7.3,4,6.3,Yes,No,0.884
10028,24,Female,Bachelor,21,ML Engineer,Startup,9,5,12,9,Low,1,Yes,19,2,2,1.5,2,8.0,No,Yes,0.512
10029,58,Female,Bachelor,29,HR Executive,Corporate,11,3,27,4,Low,2,No,14,1,4,3.5,1,6.5,No,No,0.234
10030,28,Female,Bachelor,20,Software Engineer,MNC,7,3,15,8,Low,5,No,17,2,3,2.2,2,6.2,Yes,No,0.187
10031,42,Female,Bachelor,22,Software Engineer,MNC,9,2,14,5,Low,4,No,12,3,2,2.9,1,6.6,No,Yes,0.226
10032,30,Male,Bachelor,11,Data Analyst,MNC,6,6,4,3,Medium,3,Yes,6,4,4,2.9,4,6.0,Yes,No,0.116
10033,39,Male,Master,24,Data Analyst,MNC,7,2,20,5,Medium,5,Yes,19,3,2,9.8,3,6.6,Yes,No,0.608
10034,25,Female,Bachelor,19,ML Engineer,Startup,7,4,29,2,Low,5,No,12,4,5,7.5,1,5.0,No,No,0.175
10035,46,Male,Master,6,Data Analyst,Corporate,7,4,22,6,High,1,No,13,2,2,7.8,4,8.4,Yes,Yes,0.659
10036,35,Female,Bachelor,28,ML Engineer,Corporate,10,1,5,1,High,3,Yes,3,2,3,2.8,3,4.6,No,No,0.197
10037,30,Female,PhD,28,Project Manager,MNC,8,4,28,6,Medium,3,No,12,2,4,0.0,2,6.4,No,Yes,0.062
10038,47,Female,Master,12,Project Manager,Startup,8,6,12,5,High,2,No,5,5,3,0.6,2,5.3,No,No,0.099
10039,23,Male,Bachelor,2,Data Analyst,MNC,10,6,15,9,Medium,4,Yes,8,1,5,5.5,1,4.7,No,No,0.675
10040,41,Female,Master,1,Project Manager,Corporate,11,2,29,7,Low,2,Yes,19,5,1,2.9,5,7.1,No,Yes,0.621
10041,49,Female,Master,15,HR Executive,Corporate,11,3,9,6,Low,4,No,14,3,2,1.9,5,8.4,Yes,Yes,0.426
10042,28,Male,Master,29,HR Executive,Startup,10,1,26,7,High,2,No,13,1,3,0.5,3,7.5,No,Yes,0.325
10043,29,Male,Master,5,HR Executive,Corporate,10,4,1,10,High,4,Yes,19,2,4,8.8,2,5.5,Yes,No,0.945
10044,56,Male,Master,6,Project Manager,Startup,11,3,12,5,High,1,Yes,5,2,4,6.0,4,6.5,Yes,No,0.661
10045,35,Male,Master,4,HR Executive,MNC,8,2,16,1,Low,4,Yes,11,2,1,1.1,3,4.7,No,No,0.061
10046,38,Female,Bachelor,6,ML Engineer,MNC,9,5,0,9,Low,2,Yes,8,4,4,7.7,1,6.6,Yes,No,0.649
10047,57,Male,Bachelor,33,Software Engineer,Startup,10,1,3,5,High,3,No,5,3,5,7.6,1,4.9,No,Yes,0.606
10048,25,Female,Master,31,Data Analyst,MNC,9,6,17,4,High,5,Yes,8,5,1,2.9,3,7.7,Yes,Yes,0.198
10049,23,Male,Bachelor,12,ML Engineer,Startup,9,3,5,6,High,4,Yes,13,3,5,1.9,4,4.7,Yes,No,0.299
10050,27,Male,Bachelor,29,HR Executive,MNC,6,2,27,5,High,4,No,13,4,2,8.1,2,4.5,Yes,Yes,0.415
10051,25,Male,Bachelor,24,Software Engineer,MNC,8,2,11,1,Medium,3,No,9,4,5,3.3,2,7.9,Yes,Yes,0.0
10052,50,Male,Bachelor,20,Data Analyst,Corporate,9,1,24,2,High,1,No,15,3,2,8.5,4,8.3,No,No,0.662
10053,39,Male,PhD,20,ML Engineer,Corporate,8,1,25,4,High,2,Yes,15,4,5,0.4,2,4.8,Yes,Yes,0.103
10054,47,Male,Bachelor,27,Data Analyst,Startup,8,4,26,8,Medium,1,No,9,1,1,5.0,5,5.6,No,Yes,0.982
10055,55,Female,Bachelor,19,Project Manager,MNC,6,4,29,5,Medium,4,Yes,16,2,2,1.8,5,7.5,Yes,Yes,0.139
10056,31,Male,Master,33,HR Executive,MNC,11,6,25,7,Medium,4,Yes,4,5,5,6.7,4,6.7,No,No,0.539
10057,57,Male,Master,4,ML Engineer,MNC,8,6,23,2,Medium,1,No,5,4,5,10.0,5,8.3,Yes,Yes,0.616
10058,35,Male,Bachelor,17,ML Engineer,Corporate,9,1,19,8,High,2,Yes,6,5,4,4.1,3,6.1,No,No,0.538
10059,52,Male,Bachelor,10,Software Engineer,Startup,11,1,12,5,Low,4,No,10,2,5,1.0,2,4.5,No,No,0.218
10060,36,Female,PhD,16,Software Engineer,Startup,11,3,27,4,Low,4,No,3,3,4,3.2,3,4.6,No,No,0.359
10061,29,Male,Master,21,Software Engineer,Startup,7,4,1,9,Low,1,Yes,11,2,5,8.9,4,6.8,No,Yes,0.855
10062,35,Male,Bachelor,19,Data Analyst,MNC,9,2,16,6,Low,5,Yes,19,5,3,7.7,5,7.5,No,Yes,0.426
10063,44,Male,Bachelor,5,HR Executive,Startup,9,4,22,4,Low,3,Yes,9,1,4,2.3,3,7.7,No,Yes,0.212
10064,42,Male,Bachelor,33,Data Analyst,Corporate,8,4,9,8,Low,4,No,5,3,1,9.5,3,8.1,Yes,Yes,0.876
10065,37,Female,Bachelor,13,HR Executive,Corporate,9,1,18,3,Medium,2,No,18,4,1,6.2,1,5.4,Yes,Yes,0.496
10066,39,Male,Bachelor,22,ML Engineer,Startup,7,1,29,10,Medium,5,No,10,1,2,1.7,3,7.5,No,Yes,0.377
10067,45,Female,PhD,19,Data Analyst,MNC,8,4,21,2,Low,1,Yes,7,2,1,5.7,5,7.8,No,Yes,0.514
10068,47,Male,Bachelor,12,Data Analyst,Corporate,10,5,4,7,High,1,No,19,5,2,4.5,2,7.8,Yes,Yes,0.576
10069,46,Female,Master,31,Data Analyst,Corporate,9,5,20,4,High,2,No,7,5,1,8.2,2,6.1,No,Yes,0.583
10070,50,Female,Bachelor,25,Project Manager,MNC,9,6,11,4,Low,5,No,9,5,4,3.4,2,7.0,Yes,Yes,0.174
10071,36,Male,Master,13,HR Executive,MNC,6,4,17,10,High,2,Yes,15,2,3,8.7,5,6.7,No,Yes,0.987
10072,22,Male,Master,7,HR Executive,Startup,10,5,29,9,Medium,4,Yes,13,3,2,8.1,2,6.9,No,No,0.779
10073,46,Female,Bachelor,21,Data Analyst,Corporate,10,6,8,2,Medium,5,Yes,7,4,3,6.7,2,5.6,Yes,Yes,0.356
10074,28,Female,Master,21,Project Manager,Corporate,7,6,10,1,High,3,No,17,1,5,2.6,4,7.2,No,Yes,0.048
10075,30,Male,Bachelor,15,Data Analyst,Startup,10,4,3,7,Low,3,No,9,2,5,9.7,4,7.3,Yes,No,0.749
10076,45,Female,PhD,26,HR Executive,Startup,6,6,9,8,Medium,2,Yes,7,5,3,5.5,1,5.3,No,No,0.427
10077,22,Female,PhD,9,ML Engineer,Corporate,7,1,0,3,High,3,Yes,9,4,4,9.1,1,6.3,No,Yes,0.362
10078,29,Female,Bachelor,24,Project Manager,Corporate,10,1,1,2,High,2,No,19,5,3,2.2,3,6.2,No,Yes,0.188
10079,45,Male,Bachelor,30,Project Manager,MNC,7,1,8,4,Medium,4,No,11,2,3,9.8,3,7.5,Yes,No,0.492
10080,32,Female,Bachelor,20,Data Analyst,MNC,10,2,22,2,Medium,4,No,8,5,3,8.2,3,7.2,No,Yes,0.425
10081,38,Female,Master,26,ML Engineer,Corporate,10,1,25,2,Low,2,Yes,11,2,2,9.5,1,6.4,Yes,No,0.503
10082,29,Female,Bachelor,16,HR Executive,Corporate,11,1,17,5,High,4,Yes,19,5,2,2.1,2,7.1,Yes,No,0.217
10083,56,Male,Bachelor,32,Software Engineer,MNC,10,4,15,10,Low,3,Yes,4,2,3,4.3,3,5.6,Yes,No,0.794
10084,56,Male,Bachelor,30,HR Executive,Startup,9,5,22,5,Medium,4,Yes,15,5,4,1.0,2,5.4,Yes,No,0.183
10085,54,Female,Bachelor,25,HR Executive,Startup,10,5,13,8,High,3,No,19,4,5,1.4,2,5.5,No,Yes,0.32
10086,26,Male,Master,20,ML Engineer,Corporate,9,1,3,9,Medium,3,No,8,4,5,2.8,1,4.6,Yes,No,0.306
10087,49,Female,Bachelor,0,Project Manager,Corporate,8,1,25,2,Medium,1,No,8,5,5,9.5,4,7.3,Yes,No,0.517
10088,28,Male,Master,3,HR Executive,MNC,11,1,1,1,Medium,4,Yes,4,5,1,6.7,4,8.4,No,Yes,0.29
10089,30,Male,Bachelor,3,Project Manager,Corporate,6,6,11,3,Low,4,Yes,15,2,4,3.1,5,5.7,No,No,0.224
10090,29,Female,Bachelor,25,ML Engineer,Startup,7,4,19,6,Medium,2,No,12,2,2,9.5,4,8.2,No,No,0.824
10091,33,Male,Master,3,ML Engineer,MNC,7,4,4,5,Low,2,Yes,11,2,5,7.4,3,6.9,No,No,0.442
10092,55,Male,PhD,8,Data Analyst,MNC,8,4,28,8,Medium,5,Yes,15,3,2,9.1,1,5.4,Yes,No,0.592
10093,54,Male,Master,29,Software Engineer,Startup,10,5,29,8,Medium,3,No,9,5,2,9.3,2,4.5,Yes,No,1.0
10094,44,Female,Bachelor,3,ML Engineer,Startup,6,2,3,2,High,1,Yes,16,5,2,7.5,1,7.4,Yes,Yes,0.244
10095,45,Male,Bachelor,4,ML Engineer,MNC,8,5,14,9,Medium,3,Yes,6,5,2,2.4,5,7.3,No,Yes,0.501
10096,58,Male,PhD,22,Project Manager,Corporate,8,4,2,4,High,4,No,10,5,3,10.0,5,5.4,No,No,0.703
10097,56,Female,Bachelor,15,ML Engineer,Startup,7,3,21,1,High,5,No,14,2,2,3.3,5,5.8,Yes,Yes,0.147
10098,43,Male,Bachelor,21,HR Executive,MNC,9,2,16,2,Low,3,No,10,2,1,6.7,2,8.1,No,Yes,0.405
10099,48,Male,PhD,7,Data Analyst,Corporate,9,1,7,6,High,5,Yes,18,3,2,8.4,5,5.1,Yes,No,0.831
10100,56,Male,Master,32,Data Analyst,Corporate,10,6,11,5,High,3,No,3,2,5,1.8,5,7.8,No,No,0.379
10101,22,Male,PhD,15,HR Executive,MNC,10,5,20,7,Medium,4,No,12,5,2,6.1,5,5.2,No,No,0.67
10102,56,Male,PhD,4,ML Engineer,Startup,8,6,7,9,Medium,4,Yes,9,5,5,3.8,2,6.4,No,No,0.251
10103,58,Female,PhD,15,Software Engineer,Corporate,10,2,25,6,Low,3,Yes,16,1,2,2.4,5,6.5,Yes,No,0.589
10104,35,Female,Bachelor,6,ML Engineer,Startup,9,3,19,6,High,1,No,19,2,4,0.1,3,6.4,No,No,0.382
10105,24,Male,Bachelor,0,Data Analyst,MNC,6,2,19,2,High,4,No,7,1,3,8.7,1,5.7,No,Yes,0.227
10106,22,Male,Master,8,Software Engineer,Startup,7,5,4,7,Low,2,Yes,5,5,5,1.4,5,5.5,Yes,Yes,0.316
10107,26,Male,Master,17,Project Manager,Corporate,9,4,20,2,Medium,1,Yes,3,2,1,8.8,5,7.4,Yes,Yes,0.852
10108,47,Female,Bachelor,2,Project Manager,MNC,11,1,26,7,High,3,Yes,10,5,2,6.0,1,5.6,Yes,No,0.701
10109,35,Female,Bachelor,23,ML Engineer,Corporate,10,4,5,8,Low,1,No,11,1,5,6.2,5,6.9,No,No,0.941
10110,48,Male,Bachelor,27,ML Engineer,Corporate,7,4,4,1,Medium,2,Yes,7,1,3,8.3,5,7.9,No,No,0.485
10111,30,Male,Master,9,Software Engineer,MNC,11,5,20,9,Low,4,No,3,4,2,5.1,3,7.8,Yes,No,0.7
10112,36,Female,Bachelor,8,Software Engineer,MNC,7,4,28,8,Low,4,No,19,4,3,3.6,4,5.2,No,No,0.349
10113,36,Male,Bachelor,12,ML Engineer,Startup,8,4,7,9,High,4,No,16,2,1,1.4,2,7.1,Yes,Yes,0.452
10114,47,Female,Master,34,Data Analyst,MNC,10,5,21,5,Medium,2,Yes,19,2,5,5.7,2,6.9,No,Yes,0.524
10115,34,Female,Master,22,Project Manager,Startup,8,5,17,4,High,1,Yes,11,2,1,5.5,1,5.6,No,No,0.506
10116,53,Male,Bachelor,16,Software Engineer,MNC,7,3,3,1,High,3,No,5,2,3,2.9,3,6.1,No,Yes,0.101
10117,53,Female,Master,6,Data Analyst,Corporate,8,4,3,9,Medium,3,No,5,2,4,6.0,2,5.6,Yes,Yes,0.622
10118,25,Male,Master,15,ML Engineer,Startup,10,2,4,4,Medium,1,Yes,15,2,4,4.4,1,6.6,Yes,Yes,0.36
10119,51,Male,Bachelor,19,HR Executive,MNC,9,1,14,4,Medium,4,No,7,2,5,8.1,1,7.7,No,Yes,0.378
10120,58,Male,Bachelor,23,Software Engineer,Startup,6,6,5,4,High,3,Yes,8,1,2,5.6,1,8.0,Yes,Yes,0.291
10121,44,Male,Bachelor,4,HR Executive,Startup,11,1,26,2,Medium,4,No,16,1,1,9.3,2,7.4,Yes,Yes,0.632
10122,36,Male,Bachelor,5,Data Analyst,Startup,9,5,20,4,Medium,5,Yes,8,1,4,5.2,4,6.4,No,No,0.399
10123,50,Male,PhD,27,Project Manager,Corporate,7,6,15,2,Medium,5,No,19,5,4,8.9,1,8.3,No,Yes,0.209
10124,57,Female,Bachelor,4,Data Analyst,MNC,9,5,13,8,Low,3,No,11,3,2,5.2,5,6.8,Yes,No,0.774
10125,34,Female,Master,1,Project Manager,MNC,8,3,13,7,Medium,1,No,6,5,1,5.6,4,6.4,Yes,Yes,0.671
10126,53,Female,Bachelor,20,Data Analyst,Startup,10,4,15,10,High,1,Yes,17,2,3,3.7,4,7.9,No,No,0.788
10127,28,Female,Bachelor,17,Software Engineer,MNC,9,5,26,2,Low,1,Yes,17,3,4,4.0,5,5.2,No,No,0.272
10128,43,Male,Master,11,Software Engineer,Corporate,9,5,21,2,High,4,Yes,9,1,5,9.3,2,5.1,No,No,0.522
10129,49,Female,Bachelor,16,HR Executive,Startup,10,1,23,2,Low,5,No,17,1,5,2.2,2,7.6,No,Yes,0.0
10130,23,Female,Bachelor,14,Data Analyst,Corporate,8,4,3,1,Medium,4,No,7,4,3,1.2,3,8.0,No,Yes,0.0
10131,27,Female,Bachelor,6,Data Analyst,Corporate,6,3,10,6,Low,2,Yes,13,2,2,8.3,2,4.8,Yes,No,0.757
10132,49,Male,Bachelor,13,HR Executive,MNC,9,5,18,6,High,2,Yes,16,2,2,5.8,3,7.6,Yes,No,0.643
10133,49,Female,Master,0,ML Engineer,MNC,11,5,24,1,Low,3,Yes,10,4,4,2.8,1,6.2,Yes,Yes,0.055
10134,41,Male,Bachelor,2,Data Analyst,Startup,7,5,18,1,Medium,2,No,6,5,4,4.3,2,7.3,Yes,No,0.069
10135,51,Female,PhD,30,Data Analyst,Corporate,8,1,26,6,Medium,1,Yes,12,4,4,5.2,2,5.0,Yes,Yes,0.521
10136,32,Male,Master,12,Data Analyst,MNC,8,5,7,6,High,3,Yes,9,2,3,5.9,5,8.4,No,No,0.596
10137,49,Male,Bachelor,17,ML Engineer,Startup,9,5,9,4,Low,5,No,3,1,3,8.2,1,8.0,No,Yes,0.362
10138,46,Female,Bachelor,16,Software Engineer,Startup,11,1,27,3,High,5,Yes,14,4,4,3.9,3,6.1,No,Yes,0.268
10139,54,Male,Bachelor,16,HR Executive,MNC,10,5,4,9,High,2,Yes,15,3,2,6.8,1,8.1,No,Yes,0.687
10140,22,Male,Master,10,ML Engineer,Corporate,9,4,15,6,High,2,Yes,18,1,1,8.3,4,8.1,Yes,No,0.877
10141,48,Female,Bachelor,19,Project Manager,Startup,9,4,24,1,Medium,5,Yes,16,5,4,8.4,5,6.3,Yes,Yes,0.359
10142,34,Female,Master,9,Project Manager,MNC,10,1,2,3,Low,2,Yes,15,1,2,2.5,4,8.3,Yes,No,0.384
10143,24,Female,Bachelor,28,ML Engineer,Startup,7,4,25,1,Medium,2,No,7,5,2,3.5,3,8.4,No,No,0.021
10144,27,Male,Master,33,ML Engineer,MNC,10,6,9,3,Medium,4,Yes,16,1,5,5.9,2,5.4,Yes,Yes,0.428
10145,29,Male,Bachelor,16,Software Engineer,Startup,9,6,23,2,Medium,5,Yes,15,2,1,8.9,2,4.8,No,No,0.551
10146,48,Male,PhD,12,Project Manager,Corporate,6,6,29,5,Low,5,Yes,16,5,4,7.9,2,5.8,No,No,0.242
10147,30,Female,Bachelor,26,HR Executive,Startup,10,3,28,3,Medium,2,Yes,14,5,1,5.8,3,6.5,Yes,No,0.483
10148,58,Male,Bachelor,25,Data Analyst,MNC,7,5,12,7,Medium,1,No,17,4,4,9.8,4,4.9,No,No,0.9
10149,54,Male,Bachelor,27,Data Analyst,MNC,10,3,6,8,Medium,4,Yes,13,1,1,4.4,3,5.1,Yes,No,0.757
10150,45,Male,Bachelor,12,Software Engineer,MNC,10,4,11,7,Low,1,No,17,5,1,8.4,3,8.4,Yes,No,0.773
10151,36,Male,PhD,11,Software Engineer,Corporate,8,1,22,2,Low,2,Yes,14,5,2,8.2,4,7.4,No,Yes,0.481
10152,53,Male,Bachelor,27,Project Manager,MNC,8,6,13,10,High,5,Yes,18,1,1,9.1,2,8.0,No,No,0.89
10153,53,Male,Bachelor,1,HR Executive,MNC,9,1,26,10,Medium,1,Yes,6,1,1,9.9,5,8.4,No,No,1.0
10154,45,Male,Master,33,HR Executive,Corporate,9,3,9,7,Medium,3,No,11,3,4,5.0,3,6.0,Yes,Yes,0.595
10155,33,Female,Bachelor,22,ML Engineer,MNC,10,4,8,10,Low,1,Yes,18,4,2,2.0,3,7.3,Yes,Yes,0.618
10156,23,Female,Master,28,Software Engineer,MNC,6,5,11,3,Low,5,Yes,9,5,1,4.6,4,5.2,Yes,No,0.228
10157,24,Female,Master,34,Data Analyst,Corporate,11,4,23,7,Medium,2,Yes,13,1,2,8.5,5,6.7,Yes,No,1.0
10158,58,Male,Bachelor,10,Data Analyst,Startup,9,6,2,1,High,1,Yes,19,5,2,8.4,3,5.3,No,Yes,0.731
10159,38,Male,PhD,32,Project Manager,MNC,10,4,29,2,High,2,Yes,7,3,3,3.4,1,5.1,No,Yes,0.225
10160,23,Female,Bachelor,10,Data Analyst,Startup,10,1,12,10,Medium,4,No,14,3,4,0.5,5,4.9,No,Yes,0.512
10161,23,Male,Bachelor,8,HR Executive,Corporate,11,2,5,1,High,3,Yes,4,5,3,5.1,3,6.8,Yes,No,0.347
10162,49,Female,Master,13,HR Executive,MNC,10,6,26,9,High,5,No,3,4,2,4.7,5,8.3,Yes,Yes,0.595
10163,44,Male,Master,8,Software Engineer,MNC,11,5,5,2,Medium,5,No,6,2,1,0.9,1,5.0,Yes,No,0.109
10164,58,Male,Bachelor,2,Project Manager,Corporate,11,6,20,2,High,2,No,13,5,4,7.9,1,6.5,No,Yes,0.421
10165,53,Female,Master,28,Data Analyst,MNC,10,6,18,6,Low,3,Yes,18,3,5,2.8,5,7.2,No,No,0.355
10166,54,Female,Bachelor,18,Software Engineer,Startup,10,5,24,7,Medium,5,No,12,4,4,6.5,2,6.5,Yes,Yes,0.432
10167,22,Female,Bachelor,31,ML Engineer,Startup,8,6,6,2,Low,1,Yes,14,1,3,1.0,5,8.1,No,Yes,0.079
10168,40,Female,PhD,6,ML Engineer,Corporate,11,1,3,4,Medium,5,No,4,4,4,8.6,4,5.2,Yes,No,0.639
10169,23,Female,Bachelor,27,Data Analyst,MNC,7,4,21,3,Low,1,Yes,3,4,1,7.4,2,4.6,Yes,Yes,0.458
10170,47,Male,Bachelor,17,Data Analyst,MNC,11,1,4,5,High,5,Yes,12,5,4,3.9,1,6.0,No,No,0.25
10171,53,Male,Master,4,Data Analyst,Corporate,7,4,0,9,Low,1,Yes,12,4,5,6.3,2,6.7,Yes,Yes,0.615
10172,27,Male,PhD,22,HR Executive,Startup,10,2,17,2,Low,4,Yes,12,1,3,1.9,1,5.5,Yes,No,0.081
10173,53,Female,Bachelor,21,Data Analyst,Startup,9,6,16,5,Low,2,Yes,4,5,3,9.9,1,5.2,No,No,0.749
10174,25,Female,Master,25,ML Engineer,Corporate,6,2,8,8,Low,4,No,5,3,2,8.0,1,7.7,No,No,0.565
10175,32,Female,Master,11,Data Analyst,MNC,10,3,8,6,Low,1,Yes,3,1,3,7.9,4,5.3,Yes,No,0.944
10176,38,Female,PhD,18,Project Manager,Startup,6,4,20,4,Medium,2,No,13,5,5,1.5,4,6.3,Yes,No,0.0
10177,59,Female,PhD,0,ML Engineer,MNC,8,1,23,10,Low,3,Yes,14,5,5,0.2,3,8.3,No,Yes,0.173
10178,45,Female,Bachelor,2,Project Manager,Startup,7,1,9,8,Low,1,Yes,3,2,3,5.9,4,7.0,No,No,0.815
10179,26,Male,Bachelor,26,ML Engineer,MNC,8,6,19,3,Medium,5,Yes,8,1,4,1.4,1,6.5,Yes,No,0.0
10180,55,Male,Bachelor,17,Software Engineer,Startup,9,1,16,4,Medium,5,Yes,18,4,5,7.8,5,5.9,Yes,Yes,0.47
10181,27,Male,Master,29,ML Engineer,MNC,9,3,12,9,High,3,Yes,5,1,3,4.2,2,6.6,No,Yes,0.592
10182,43,Male,Master,1,ML Engineer,Corporate,11,5,28,5,Low,4,Yes,19,1,3,3.4,5,7.4,Yes,No,0.492
10183,32,Male,Master,4,Project Manager,Startup,10,1,3,6,Low,1,Yes,18,2,4,0.7,1,7.8,Yes,Yes,0.089
10184,37,Female,PhD,28,Project Manager,Corporate,11,6,22,2,High,5,Yes,13,4,3,10.0,5,7.1,No,No,0.697
10185,54,Female,Bachelor,32,ML Engineer,Startup,9,2,26,9,Low,2,Yes,18,2,1,9.6,2,7.7,Yes,Yes,1.0
10186,30,Female,Bachelor,19,ML Engineer,Startup,9,1,17,8,High,3,No,14,2,2,1.3,3,4.9,No,Yes,0.434
10187,27,Female,Bachelor,29,HR Executive,Startup,11,1,17,7,Medium,4,No,3,2,5,3.3,3,4.6,No,No,0.471
10188,37,Female,Bachelor,4,Software Engineer,MNC,8,1,21,9,Low,4,No,13,1,4,3.9,4,7.4,Yes,No,0.481
10189,50,Female,Bachelor,20,Software Engineer,Startup,6,6,8,5,Low,2,Yes,8,2,4,3.0,5,5.5,No,Yes,0.297
10190,24,Male,Bachelor,14,Data Analyst,Corporate,7,5,2,5,Medium,2,No,14,3,2,9.3,4,8.0,No,No,0.708
10191,41,Female,Master,19,ML Engineer,MNC,9,1,6,9,Low,3,Yes,4,4,1,7.2,4,6.6,No,Yes,0.895
10192,57,Female,PhD,7,ML Engineer,MNC,11,5,25,5,Medium,2,Yes,12,4,2,9.6,5,6.4,Yes,No,0.992
10193,40,Female,Master,30,ML Engineer,Startup,9,5,14,9,Medium,5,Yes,17,2,3,8.7,5,7.6,No,Yes,0.835
10194,47,Female,Master,11,ML Engineer,MNC,8,3,29,1,High,4,No,10,1,4,7.5,2,7.5,Yes,No,0.399
10195,24,Male,Bachelor,20,Software Engineer,Startup,7,2,8,10,Medium,2,No,13,5,3,7.0,5,7.3,No,No,0.792
10196,40,Male,Master,29,Project Manager,Corporate,8,1,26,10,High,1,Yes,18,5,4,8.7,5,7.3,No,Yes,0.946
10197,41,Female,Master,26,HR Executive,MNC,6,1,28,8,Medium,2,Yes,15,1,4,6.8,4,6.6,No,No,0.631
10198,53,Male,Master,25,Project Manager,MNC,8,1,8,3,High,4,No,15,2,3,1.9,3,8.2,No,Yes,0.013
10199,28,Male,Bachelor,32,Project Manager,Corporate,7,5,26,8,High,5,No,7,2,2,6.5,1,8.1,No,No,0.383
10200,54,Female,Bachelor,25,Software Engineer,Corporate,7,4,3,5,High,2,No,14,3,5,5.2,3,5.8,Yes,Yes,0.313
10201,39,Female,Bachelor,25,HR Executive,Startup,9,2,17,2,High,5,No,12,5,5,9.8,5,7.7,Yes,No,0.443
10202,22,Female,Master,0,ML Engineer,MNC,6,6,16,9,Low,1,No,19,5,2,5.1,1,8.1,No,No,0.401
